"REGION","SURVEY","YEAR","SUB_REGION_NAME","PRIMARY_SAMPLE_UNIT","LAT_DEGREES","LON_DEGREES","STRAT","HABITAT_CD","PROT","avsitemort","MORT_TYPE"
"SEFCRI","NCRMP",2018,"Broward-Miami","3272",25.771581,-80.08817,"OFFR0","LIRO","0",3.61111111111111,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3278",25.7704333,-80.0876333,"NEAR0","APRD","0",3.33333333333333,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3901",25.97665,-80.0998,"INNR0","LIRI","0",10.6315789473684,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3903",26.2100667,-80.0788333,"NEAR0","CPSH","0",12.5,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3904",26.0107667,-80.1013167,"INNR1","LIRI","0",17.4736842105263,"Old"
"SEFCRI","NCRMP",2018,"Broward-Miami","3905",26.1725833,-80.0886667,"NEAR1","RGSH","0",9.125,"Old"
"SEFCRI","NCRMP",2018,"Deerfield","3103",26.31625,-80.06525,"MIDR0","LIRM","0",14.6428571428571,"Old"
"SEFCRI","NCRMP",2018,"Deerfield","3122",26.2636667,-80.0705,"MIDR1","LIRM","0",4.23529411764706,"Old"
"SEFCRI","NCRMP",2018,"Deerfield","3213",26.3774833,-80.0539167,"OFFR0","LIRO","0",28.1333333333333,"Old"
"SEFCRI","NCRMP",2018,"Deerfield","3245",26.2818667,-80.0620667,"OFFR1","LIRO","0",28.375,"Old"
"SEFCRI","NCRMP",2018,"Deerfield","3246",26.33585,-80.0586833,"OFFR1","CPDP","0",38.5714285714286,"Old"
"SEFCRI","NCRMP",2018,"Deerfield","3247",26.29145,-80.0618333,"OFFR1","LIRO","0",1.5,"Old"
"SEFCRI","NCRMP",2018,"Deerfield","3258",26.3045333,-80.0593667,"OFFR1","LIRO","0",4.76923076923077,"Old"
"SEFCRI","NCRMP",2018,"Deerfield","3268",26.2696,-80.0617667,"OFFR1","APRD","0",15,"Old"
"SEFCRI","NCRMP",2018,"North Palm Beach","3001",26.89381,-80.00212,"DPRC0","DPRC","0",8,"Old"
"SEFCRI","NCRMP",2018,"North Palm Beach","3002",26.94493,-80.01036,"DPRC0","DPRC","0",2.5,"Old"
"SEFCRI","NCRMP",2018,"North Palm Beach","3006",26.93368,-80.01308,"DPRC0","DPRC","0",16.1666666666667,"Old"
"SEFCRI","NCRMP",2018,"North Palm Beach","3008",26.85591,-80.00946,"DPRC0","DPRC","0",12.5,"Old"
"SEFCRI","NCRMP",2018,"North Palm Beach","3016",26.72454,-80.01262,"DPRC0","DPRC","0",7.85714285714286,"Old"
"SEFCRI","NCRMP",2018,"North Palm Beach","3018",26.90501,-80.01283,"DPRC0","DPRC","0",10.75,"Old"
