REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,n,avmort,Var,SE,CV_perc,MORT_TYPE
FLK,1999,OFPR / PROT = 0,OFPR,NA,0,5,5.433792517006802,2.6504236802374,1.628012186759485,29.960882416177963,Recent
FLK,1999,OFPR / PROT = 1,OFPR,NA,1,4,4.479412226936979,1.5468363359314763,1.243718752745763,27.765222081295637,Recent
Tortugas,1999,SPGR_HR / PROT = 2,SPGR_HR,NA,2,1,5.592200074967478,NA,NA,NA,Recent
Tortugas,2000,CONT_HR / PROT = 0,CONT_HR,NA,0,2,1.858735380116959,1.1192186070607197,1.0579312865497077,56.91672401927048,Recent
Tortugas,2000,CONT_HR / PROT = 1,CONT_HR,NA,1,3,1.1008403361344536,0.3065428785893442,0.5536631454136569,50.29459107192762,Recent
Tortugas,2000,CONT_HR / PROT = 2,CONT_HR,NA,2,1,0.2778745644599303,NA,NA,NA,Recent
Tortugas,2000,CONT_LR / PROT = 0,CONT_LR,NA,0,4,2.1378205128205128,1.0352872287968442,1.0174906529284897,47.59476517446608,Recent
Tortugas,2000,CONT_LR / PROT = 1,CONT_LR,NA,1,3,0.35282673675530823,0.02203863040557703,0.14845413569711363,42.07564796884123,Recent
Tortugas,2000,CONT_LR / PROT = 2,CONT_LR,NA,2,5,1.4145284345284348,0.3660162249927745,0.6049927478844473,42.76992481145389,Recent
Tortugas,2000,CONT_MR / PROT = 2,CONT_MR,NA,2,3,1.60325311942959,1.277294450878715,1.1301745223100346,70.49258215147782,Recent
FLK,2000,FMLR / PROT = 0,FMLR,NA,0,14,1.07501961159007,0.07466984993751817,0.27325784515273877,25.418870707722334,Recent
FLK,2000,FMLR / PROT = 1,FMLR,NA,1,6,1.4880497809069237,0.10249234028998673,0.32014424919087137,21.514350749458973,Recent
FLK,2000,FSLR / PROT = 0,FSLR,NA,0,4,0.7904324765401878,0.1068588433667072,0.3268927092590277,41.35618398296007,Recent
FLK,2000,HRRF / PROT = 0,HRRF,NA,0,12,1.3352956883583573,0.03947026066163621,0.19867123763050407,14.87844522846883,Recent
FLK,2000,HRRF / PROT = 1,HRRF,NA,1,11,1.6853716681001076,0.25911332150126276,0.509031749011064,30.202937348821536,Recent
FLK,2000,INPR / PROT = 0,INPR,NA,0,2,1.0375,0.04515625000000001,0.21250000000000002,20.481927710843372,Recent
FLK,2000,INPR / PROT = 1,INPR,NA,1,2,1.8744543650793652,0.29024087311429203,0.5387400793650794,28.74116806478075,Recent
Tortugas,2000,ISOL_HR / PROT = 1,ISOL_HR,NA,1,1,0.4347826086956521,NA,NA,NA,Recent
Tortugas,2000,ISOL_HR / PROT = 2,ISOL_HR,NA,2,1,1.2443548387096774,NA,NA,NA,Recent
Tortugas,2000,ISOL_LR / PROT = 1,ISOL_LR,NA,1,1,0.08333333333333334,NA,NA,NA,Recent
Tortugas,2000,ISOL_LR / PROT = 2,ISOL_LR,NA,2,3,1.6650793650793652,0.43296548248929206,0.6580011265106558,39.517703498733376,Recent
Tortugas,2000,ISOL_MR / PROT = 2,ISOL_MR,NA,2,1,0.05555555555555554,NA,NA,NA,Recent
FLK,2000,MCPR / PROT = 0,MCPR,NA,0,4,1.079519306335668,0.02695570943527108,0.16418194003991754,15.208800720500172,Recent
FLK,2000,MCPR / PROT = 1,MCPR,NA,1,2,0.854797897348831,0.05776514366743439,0.2403438030560272,28.117032552543385,Recent
FLK,2000,OFPR / PROT = 0,OFPR,NA,0,5,1.5459461306829727,0.07855772258193879,0.28028150595774026,18.13009524684516,Recent
FLK,2000,OFPR / PROT = 1,OFPR,NA,1,6,2.264082036282446,0.619324087269928,0.7869714653466974,34.75896423960329,Recent
Tortugas,2000,SPGR_LR / PROT = 2,SPGR_LR,NA,2,2,1.1958485561283219,1.323202260260705,1.150305290025524,96.19155236092362,Recent
FLK,2001,FMLR / PROT = 0,FMLR,NA,0,6,0.401996151996152,0.016448079248704547,0.12825006529707714,31.903306700882244,Recent
FLK,2001,FMLR / PROT = 1,FMLR,NA,1,3,2.571851851851852,1.0324960219478736,1.0161181141717106,39.50920086785165,Recent
