SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,dis_present,ble_present
DRM,SEFCRI,2016,Broward-Miami,6043,26.1909,-80.0847,INNR1,LIRI,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6044,26.0810,-80.0956,INNR1,LIRI,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6045,26.2234,-80.0815,NEAR0,SCRS,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6046,25.7817,-80.0877,NEAR0,APRD,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6047,25.7792,-80.0877,NEAR0,APRD,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6048,26.2223,-80.0771,MIDR0,LIRM,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6050,25.9887,-80.0973,MIDR0,LIRM,0,0,0
DRM,SEFCRI,2016,Broward-Miami,6051,26.2333,-80.0754,MIDR1,LIRM,0,1,1
DRM,SEFCRI,2016,Broward-Miami,6052,25.8226,-80.0906,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6053,26.0745,-80.0927,MIDR1,LIRM,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6054,25.8175,-80.0902,OFFR0,CPDP,0,1,1
DRM,SEFCRI,2016,Broward-Miami,6055,25.9915,-80.0952,OFFR0,CPDP,0,1,1
DRM,SEFCRI,2016,Broward-Miami,6056,25.9716,-80.0905,OFFR1,LIRO,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6057,26.1152,-80.0973,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6058,26.1080,-80.1034,NEAR0,CPSH,0,0,1
DRM,SEFCRI,2016,Broward-Miami,6059,26.0610,-80.1028,NEAR0,CPSH,0,1,1
DRM,SEFCRI,2016,Broward-Miami,6060,26.0439,-80.1019,NEAR0,CPSH,0,1,1
DRM,SEFCRI,2016,Broward-Miami,6310,25.7801,-80.0889,OFFR1,LIRO,0,0,1
DRM,SEFCRI,2016,Deerfield,5931,26.3019,-80.0682,MIDR0,LIRM,0,0,0
DRM,SEFCRI,2016,Deerfield,5932,26.3011,-80.0609,OFFR1,LIRO,0,1,1
DRM,SEFCRI,2016,Deerfield,6546,26.3011,-80.0609,OFFR1,LIRO,0,1,0
DRM,SEFCRI,2016,Martin,6001,27.1518,-80.1423,NEAR0,RGSH,0,1,0
DRM,SEFCRI,2016,Martin,6002,27.1157,-80.1288,NEAR0,CPSH,0,0,0
