SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,SPECIES_CD,Total_dis,Total_ble,Total_col,DIS_PREV,BLE_PREV
NCRMP,SEFCRI,2016,Broward-Miami,3117,26.0333,-80.0943,MIDR1,LIRM,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3117,26.0333,-80.0943,MIDR1,LIRM,0,POR ASTR,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3117,26.0333,-80.0943,MIDR1,LIRM,0,SID SIDE,0,0,3,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3117,26.0333,-80.0943,MIDR1,LIRM,0,STE INTE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3119,26.1747,-80.0757,OFFR1,LIRO,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3119,26.1747,-80.0757,OFFR1,LIRO,0,POR ASTR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3119,26.1747,-80.0757,OFFR1,LIRO,0,STE INTE,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3120,26.0968,-80.0839,OFFR1,LIRO,0,MON CAVE,0,1,1,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3120,26.0968,-80.0839,OFFR1,LIRO,0,POR ASTR,0,1,4,0,25
NCRMP,SEFCRI,2016,Broward-Miami,3120,26.0968,-80.0839,OFFR1,LIRO,0,POR PORI,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3120,26.0968,-80.0839,OFFR1,LIRO,0,SID RADI,1,1,1,100,100
NCRMP,SEFCRI,2016,Broward-Miami,3120,26.0968,-80.0839,OFFR1,LIRO,0,STE INTE,0,3,3,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3124,26.0223,-80.0873,OFFR1,LIRO,0,COL NATA,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3124,26.0223,-80.0873,OFFR1,LIRO,0,MAD DECA,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3124,26.0223,-80.0873,OFFR1,LIRO,0,MON CAVE,2,0,3,66.7,0
NCRMP,SEFCRI,2016,Broward-Miami,3124,26.0223,-80.0873,OFFR1,LIRO,0,POR ASTR,0,0,4,0,0
