REGION,YEAR,SPECIES_CD,SPECIES_NAME,avMaxdiam,Var_maxdiam,SE_maxdiam,n_sites,n_strat,ngrtot
SEFCRI,2019,POR PORI,Porites porites,7.309554485763234,0.8982494126068269,0.947760208389668,32,7,14333
SEFCRI,2019,PSE CLIV,Pseudodiploria clivosa,45.769328263624836,460.6968632383485,21.463850149457073,4,2,7364
SEFCRI,2019,PSE STRI,Pseudodiploria strigosa,20.528044018459354,15.954118454451894,3.9942606893456385,12,6,11268
SEFCRI,2019,SCO SPE.,Scolymia spp,4.726315789473684,0,0,2,2,3990
SEFCRI,2019,SID RADI,Siderastrea radians,10.678392363246713,6.298336189451099,2.509648618721573,31,6,13434
SEFCRI,2019,SID SIDE,Siderastrea siderea,8.099093432420888,3.1260698092909878,1.7680695148355983,63,8,15199
SEFCRI,2019,SOL BOUR,Solenastrea bournoni,22.07162328899171,29.339759805963727,5.416618853672809,23,6,13300
SEFCRI,2019,SOL HYAD,Solenastrea hyades,9.5,0,0,1,1,6272
SEFCRI,2020,ACR CERV,Acropora cervicornis,25.45294117647059,110.45960207612457,10.509976311872666,5,1,24765
SEFCRI,2020,AGA AGAR,Agaricia agaricites,16.5769090162251,0.2960607345397461,0.5441146336386719,15,10,81150
SEFCRI,2020,AGA FRAG,Agaricia fragilis,6.846500621347929,0,0,4,4,37821
SEFCRI,2020,AGA LAMA,Agaricia lamarcki,14.766625615763548,0,0,3,3,9744
SEFCRI,2020,COL NATA,Colpophyllia natans,12.591996115173675,2.014078619650583,1.419182377163197,6,5,43760
SEFCRI,2020,DIC STOK,Dichocoenia stokesii,4.8172609475221355,0.004276287644242989,0.06539333027337718,6,4,36066
SEFCRI,2020,DIP LABY,Diploria labyrinthiformis,38.09177948530308,0.03830781161529679,0.1957238146350535,7,6,73791
SEFCRI,2020,EUS FAST,Eusmilia fastigiata,8.901452052775117,2.1520987865949524,1.4670033355773096,10,5,13567
SEFCRI,2020,MAD DECA,Madracis decactis,19.409508455001237,14.187605520109551,3.7666438005351064,14,7,28532
SEFCRI,2020,MAN AREO,Manicina areolata,4,0,0,1,1,2528
SEFCRI,2020,MEA MEAN,Meandrina meandrites,7.39124200236411,3.397844668399917,1.843324352467551,37,8,53297
SEFCRI,2020,MON CAVE,Montastraea cavernosa,19.65146987673059,59.62989026705009,7.7220392557309685,112,12,87548
SEFCRI,2020,MUS ANGU,Mussa angulosa,25,0,0,1,1,1764
SEFCRI,2020,MYC FERO,Mycetophyllia ferox,23.5,24.5,4.949747468305833,2,1,8262
SEFCRI,2020,MYC LAMA,Mycetophyllia lamarckiana,20,98,9.899494936611665,2,1,8262
SEFCRI,2020,ORB ANNU,Orbicella annularis,13.714461936090226,0,0,3,3,17024
SEFCRI,2020,ORB FAVE,Orbicella faveolata,53.097238118468205,436.67091009103086,20.896672225285798,19,8,53297
SEFCRI,2020,ORB FRAN,Orbicella franksi,34.20572651314449,0,0,2,2,29442
SEFCRI,2020,POR ASTR,Porites astreoides,10.022021582374338,1.6099524364819284,1.2688390112547487,123,12,87548
SEFCRI,2020,POR DIVA,Porites divaricata,8.655216233915478,2.928070167383688,1.7111604738842259,11,4,35291
SEFCRI,2020,POR PORI,Porites porites,8.040918655877308,1.0276886119428752,1.0137497777769795,57,9,54073
SEFCRI,2020,PSE CLIV,Pseudodiploria clivosa,63.35964659098197,158.07867234733592,12.57293411846797,6,3,31182
SEFCRI,2020,PSE STRI,Pseudodiploria strigosa,10.37627454284992,3.396669976970608,1.8430056909761858,12,7,47468
SEFCRI,2020,SCO SPE.,Scolymia spp,5.680732668676097,0.20386325770137562,0.45151218998093023,3,2,12939
SEFCRI,2020,SID RADI,Siderastrea radians,6.1277524394051115,0.45808984111999607,0.6768233455784427,86,13,89155
SEFCRI,2020,SID SIDE,Siderastrea siderea,7.873733388454971,5.196089183488089,2.2794931856638856,156,13,89155
SEFCRI,2020,SOL BOUR,Solenastrea bournoni,19.378277035605354,9.365425148420766,3.060298212334995,34,9,76856
SEFCRI,2020,SOL HYAD,Solenastrea hyades,13.655755249658634,37.30935882676026,6.108138736698788,5,2,27097
SEFCRI,2020,STE INTE,Stephanocoenia intersepta,10.650444368113197,10.083779940244554,3.175496802115309,55,11,85827
SEFCRI,2021,AGA FRAG,Agaricia fragilis,6.099886686763731,0.21166870689951287,0.46007467535120083,5,3,31182
SEFCRI,2021,AGA GRAH,Agaricia grahamae,7,0,0,1,1,4085
SEFCRI,2021,AGA LAMA,Agaricia lamarcki,11.518628006803272,0,0,2,2,12347
SEFCRI,2021,COL NATA,Colpophyllia natans,15.801885204511025,0,0,3,3,17823
SEFCRI,2021,DIP LABY,Diploria labyrinthiformis,19.570758784220736,0,0,3,3,37112
SEFCRI,2021,EUS FAST,Eusmilia fastigiata,11.255588883761472,7.638601167267636,2.763801940672963,13,6,26004
SEFCRI,2021,MAD DECA,Madracis decactis,13.430175662878787,4.555243444057496,2.134301629118409,10,5,21120
SEFCRI,2021,MEA MEAN,Meandrina meandrites,36.36204060810121,0.8099969218242606,0.8999982899007424,26,6,49005
SEFCRI,2021,MON CAVE,Montastraea cavernosa,17.619923777108216,45.535454393873685,6.747996324382052,79,9,82590
SEFCRI,2021,MUS ANGU,Mussa angulosa,5,0,0,1,1,8262
SEFCRI,2021,MYC ALIC,Mycetophyllia aliciae,19.761601268796994,8.492998016096912,2.9142748696883265,8,3,17024
SEFCRI,2021,MYC LAMA,Mycetophyllia lamarckiana,49,2,1.4142135623730951,2,1,8262
SEFCRI,2021,ORB ANNU,Orbicella annularis,7.857599269739844,0,0,2,2,13146
SEFCRI,2021,ORB FAVE,Orbicella faveolata,64.05749836547892,1124.8077469292057,33.53815360047726,12,6,45885
SEFCRI,2021,POR ASTR,Porites astreoides,10.690332057679102,3.162792564090526,1.778424180023013,82,8,52352
SEFCRI,2021,POR DIVA,Porites divaricata,9.264140483540327,3.5078065628426667,1.8729139229667409,12,4,41789
SEFCRI,2021,POR FURC,Porites furcata,9,0,0,1,1,24765
SEFCRI,2021,POR PORI,Porites porites,7.97856344307778,0.7080718122243744,0.8414700304968529,45,7,50588
SEFCRI,2021,PSE CLIV,Pseudodiploria clivosa,42.79526909063306,1511.4409127470517,38.877254439415495,7,2,26348
SEFCRI,2021,PSE STRI,Pseudodiploria strigosa,34.3702554708582,493.34091738387406,22.21127905780921,17,7,50769
SEFCRI,2021,SCO SPE.,Scolymia spp,4,0,0,1,1,4677
SEFCRI,2021,SID RADI,Siderastrea radians,5.719211227410321,0.1782617805733024,0.42221058794552085,38,8,80826
SEFCRI,2021,SID SIDE,Siderastrea siderea,7.653923262440778,6.412631878808604,2.5323174917076656,88,9,82590
SEFCRI,2021,SOL BOUR,Solenastrea bournoni,18.279341298578863,45.82990386750974,6.769778716288276,25,5,46673
SEFCRI,2021,SOL HYAD,Solenastrea hyades,9.6,13.3,3.646916505762094,5,1,24765
SEFCRI,2022,ACR CERV,Acropora cervicornis,32.12002233306561,38.971200847175595,6.2426917949852045,15,4,32765
SEFCRI,2022,AGA AGAR,Agaricia agaricites,9.325992125846776,3.2641562644783892,1.8066976129054881,38,9,50912
SEFCRI,2022,AGA FRAG,Agaricia fragilis,9.090688259109312,6.319497615247644,2.513861097047258,8,4,14820
SEFCRI,2022,AGA LAMA,Agaricia lamarcki,10.893863820902446,0,0,4,4,17242
SEFCRI,2022,AGA SPE.,Agaricia spp,7,0,0,1,1,2332
SEFCRI,2022,COL NATA,Colpophyllia natans,11.320763461700516,16.60369061161085,4.074762644818819,10,7,47468
SEFCRI,2022,DIC STOK,Dichocoenia stokesii,6.390766148419903,1.3782492023507587,1.1739885869763635,50,8,51478
SEFCRI,2022,DIP LABY,Diploria labyrinthiformis,12.445842935649708,3.812326157782998,1.9525179020390564,10,7,50769
SEFCRI,2022,EUS FAST,Eusmilia fastigiata,8.53042801107522,3.4010406008703686,1.844191042400534,26,6,26004
SEFCRI,2022,FAV FRAG,Favia fragum,4,0,0,1,1,1764
SEFCRI,2022,HEL CUCU,Helioceris cucullata,10,0,0,1,1,8262
SEFCRI,2022,ISO SPE.,Isophyllia spp,18,0,0,1,1,4677
SEFCRI,2022,MAD AURE,Madracis auretenra,8.5,0,0,1,1,4884
SEFCRI,2022,MAD DECA,Madracis decactis,12.761102751081886,9.621951501804244,3.101927062618372,30,5,19770
SEFCRI,2022,MAD SENA,Madracis senaria,15,0,0,1,1,8262
SEFCRI,2022,MEA JACK,Meandrina jacksoni,9,0,0,1,1,24765
SEFCRI,2022,MEA MEAN,Meandrina meandrites,7.733002325873258,0.4315943305919601,0.6569583933491985,63,9,54006
SEFCRI,2022,MON CAVE,Montastraea cavernosa,22.509690386546477,63.87705268865383,7.992312099052053,147,11,85827
SEFCRI,2022,MYC ALIC,Mycetophyllia aliciae,12.664808419379531,19.941275111615706,4.465565486208405,19,6,24447
SEFCRI,2022,MYC FERO,Mycetophyllia ferox,9,0,0,1,1,8262
SEFCRI,2022,OCU DIFF,Oculina diffusa,11.5,84.5,9.192388155425117,2,1,24765
SEFCRI,2022,ORB ANNU,Orbicella annularis,9,0,0,1,1,8262
SEFCRI,2022,ORB FAVE,Orbicella faveolata,56.40250483141641,20.726843231108464,4.552674294423934,20,8,53297
SEFCRI,2022,ORB FRAN,Orbicella franksi,75,0,0,1,1,2528
